reinforcement_ratio,warning_signal_points,warning_pecks,punishment_period,feed_time,total_reinforcements,skip_to_next_value,warning_alarm_volume,warning_display_volume,punishment_condition,subject,is_spot_on,random_warning,Time,Reinforcers,Quarter,Pecks,Event,x,y
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.185740,0,2.0,14,peck,0.5958333333333333,0.33444444444444443,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.223545,0,2.0,14,peck,0.5958333333333333,0.41000000000000003,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.249115,0,2.0,14,peck,0.5888888888888889,0.30333333333333334,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.272822,0,2.0,14,peck,0.5909722222222222,0.4033333333333333,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.285088,0,2.0,14,peck,0.5777777777777777,0.30222222222222217,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.286153,0,2.0,14,peck,0.5791666666666667,0.41000000000000003,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.321385,0,2.0,14,peck,0.5652777777777778,0.30666666666666664,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.346239,0,2.0,14,peck,0.5673611111111111,0.4211111111111111,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.347308,0,2.0,14,peck,0.5611111111111111,0.31666666666666665,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.358457,0,2.0,14,peck,0.5625,0.4322222222222222,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.394947,0,2.0,14,peck,0.5611111111111111,0.3244444444444444,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.396010,0,2.0,14,peck,0.5631944444444444,0.4444444444444444,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.419468,0,2.0,14,peck,0.5666666666666667,0.32999999999999996,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:08.432480,0,2.0,14,peck,0.56875,0.4455555555555556,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.516049,0,2.0,14,peck,0.5763888888888888,0.49888888888888894,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.541205,0,2.0,14,peck,0.5777777777777777,0.5777777777777777,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:09.553394,0,2.0,14,peck,0.5784722222222223,0.49444444444444446,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.478989,0,2.0,14,peck,0.5833333333333334,0.4455555555555556,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.487114,0,2.0,14,peck,0.5819444444444445,0.3766666666666667,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.495086,0,2.0,14,peck,0.5833333333333334,0.4455555555555556,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:10.531226,0,2.0,14,peck,0.58125,0.3522222222222222,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:11.580559,0,2.0,14,peck,0.5916666666666667,0.4066666666666666,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.636324,0,2.0,14,peck,0.5965277777777778,0.4966666666666667,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.660226,0,2.0,14,peck,0.5902777777777778,0.4033333333333333,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.668359,0,2.0,14,peck,0.5965277777777778,0.4966666666666667,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.706045,0,2.0,14,peck,0.5777777777777777,0.3866666666666667,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.707117,0,2.0,14,peck,0.5798611111111112,0.4866666666666667,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.743035,0,2.0,14,peck,0.5611111111111111,0.3833333333333333,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.744105,0,2.0,14,peck,0.5625,0.47444444444444445,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.766645,0,2.0,14,peck,0.5395833333333333,0.38,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.828407,0,2.0,14,peck,0.5402777777777777,0.43999999999999995,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:12.828952,0,2.0,14,peck,0.46319444444444446,0.3666666666666667,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:55.160263,0,2.0,14,peck,0.42777777777777776,0.028888888888888853,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:55.160811,0,2.0,14,peck,0.4756944444444444,0.028888888888888853,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:55.172708,0,2.0,14,peck,0.42777777777777776,0.028888888888888853,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:56.343223,0,2.0,14,peck,0.49027777777777776,0.05888888888888888,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:57.596105,0,2.0,14,peck,0.6895833333333333,0.04888888888888887,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:57.620926,0,2.0,14,peck,0.6902777777777778,0.1611111111111111,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:57.628854,0,2.0,14,peck,0.6965277777777777,0.04888888888888887,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:57.640852,0,2.0,14,peck,0.6979166666666666,0.1577777777777778,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:57.666175,0,2.0,14,peck,0.7,0.04555555555555557,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:57.727412,0,2.0,14,peck,0.7013888888888888,0.15333333333333332,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:57.739461,0,2.0,14,peck,0.7,0.030000000000000027,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:57.837689,0,2.0,14,peck,0.7013888888888888,0.12777777777777777,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:57.850226,0,2.0,14,peck,0.7006944444444444,0.018888888888888844,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:57.875484,0,2.0,14,peck,0.7013888888888888,0.12777777777777777,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:57.887657,0,2.0,14,peck,0.7006944444444444,0.01777777777777778,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:58.528443,0,2.0,14,peck,0.6965277777777777,0.020000000000000018,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:58.529517,0,2.0,14,peck,0.6916666666666667,0.15333333333333332,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:58.553437,0,2.0,14,peck,0.6930555555555555,0.022222222222222254,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:58.578481,0,2.0,14,peck,0.6944444444444444,0.15111111111111108,False
30,[],3,30,5,38,3,100,100,1,Pigeon,True,False,0:00:58.590754,0,2.0,14,peck,0.6909722222222222,0.022222222222222254,False
